Parameter,Value,Run,Default_Cost,Optimized_Cost,Improvement_%,Default_Time,Optimized_Time,Time_Improvement_%,Vehicles_Completed,Completion_Rate_%,Elapsed_Time_s
n_vehicles,100,1,10734.0,16125.0,-50.22358859698155,8844.0,11775.0,-33.14111261872456,100,100.0,36.18093967437744
n_vehicles,100,2,10734.0,16936.0,-57.7790199366499,8844.0,11716.0,-32.47399366802352,100,100.0,42.0110399723053
n_vehicles,150,1,15944.0,21852.0,-37.05469141996989,13304.0,17292.0,-29.975947083583886,150,100.0,39.57186198234558
n_vehicles,150,2,15944.0,24868.0,-55.970898143502254,13304.0,19228.0,-44.527961515333736,150,100.0,39.104026317596436
n_vehicles,200,1,19644.0,27543.0,-40.21075137446549,17664.0,22113.0,-25.186820652173914,200,100.0,41.47246289253235
n_vehicles,200,2,19644.0,31373.0,-59.70779881897781,17664.0,24653.0,-39.56634963768116,200,100.0,39.45089769363403
