Parameter,Value,Run,Default_Cost,Optimized_Cost,Improvement_%,Default_Time,Optimized_Time,Time_Improvement_%,Vehicles_Completed,Completion_Rate_%,Elapsed_Time_s
n_ants,5,1,19644.0,34962.0,-77.9780085522297,17664.0,26862.0,-52.07201086956522,200,100.0,13.581123113632202
n_ants,5,2,19644.0,31478.0,-60.242313174506215,17664.0,25778.0,-45.935235507246375,200,100.0,11.921955347061157
n_ants,10,1,19644.0,34116.0,-73.67135003054368,17664.0,27906.0,-57.98233695652174,200,100.0,22.68330693244934
n_ants,10,2,19644.0,31867.0,-62.222561596416206,17664.0,25447.0,-44.06136775362319,200,100.0,26.470863103866577
n_ants,15,1,19644.0,28610.0,-45.64243534921604,17664.0,23300.0,-31.906702898550726,200,100.0,38.28701162338257
n_ants,15,2,19644.0,30169.0,-53.57870087558542,17664.0,25159.0,-42.43093297101449,200,100.0,34.44247627258301
n_ants,20,1,19644.0,29619.0,-50.77886377519854,17664.0,23859.0,-35.07133152173913,200,100.0,46.84592008590698
n_ants,20,2,19644.0,30617.0,-55.85929545917329,17664.0,25157.0,-42.419610507246375,200,100.0,45.797752380371094
