Parameter,Value,Run,Default_Cost,Optimized_Cost,Improvement_%,Default_Time,Optimized_Time,Time_Improvement_%,Vehicles_Completed,Completion_Rate_%,Elapsed_Time_s
n_ants,5,1,19644.0,33841.0,-72.27143148035023,17664.0,27511.0,-55.746150362318836,200,100.0,12.953455924987793
n_ants,5,2,19644.0,34936.0,-77.84565261657504,17664.0,26836.0,-51.92481884057971,200,100.0,11.39229965209961
n_ants,10,1,19644.0,30589.0,-55.716758297699045,17664.0,25039.0,-41.75158514492754,200,100.0,20.06758999824524
n_ants,10,2,19644.0,34371.0,-74.96945632254123,17664.0,28101.0,-59.08627717391305,200,100.0,22.98558497428894
n_ants,15,1,19644.0,32764.0,-66.78884137650172,17664.0,26254.0,-48.62998188405797,200,100.0,35.03576683998108
n_ants,15,2,19644.0,30377.0,-54.63754836082264,17664.0,24917.0,-41.06091485507246,200,100.0,36.21019792556763
n_ants,20,1,19644.0,28331.0,-44.22215434738342,17664.0,23561.0,-33.38428442028986,200,100.0,45.93617105484009
n_ants,20,2,19644.0,29752.0,-51.45591529220118,17664.0,24442.0,-38.37182971014493,200,100.0,48.52022123336792
