tls_id,phase_index,original_duration,optimized_duration
A0,0,90,52
A1,0,42,34
A1,1,3,12
A1,2,42,14
A1,3,3,10
A2,0,90,58
B0,0,42,10
B0,1,3,26
B0,2,42,50
B0,3,3,16
B1,0,42,14
B1,1,3,38
B1,2,42,58
B1,3,3,22
B2,0,42,34
B2,1,3,12
B2,2,42,34
B2,3,3,24
C0,0,90,12
C1,0,42,52
C1,1,3,40
C1,2,42,52
C1,3,3,52
C2,0,90,48
